date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:38	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Jul%202020%2005:54:40%20GMT	https://www.bughunterr.com/robots.txt		(from )
11:24:39	45710/45710	---M-Z	200	added ('OK')	text/html	etag:%22b28e-5a9eb29f51d1f-gzip%22	https://www.bughunterr.com/	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/index.html	(from )
11:24:39	15235/15235	---M-Z	200	added ('OK')	text/css	etag:%223b83-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/css/components.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/css/components.css	(from https://www.bughunterr.com/)
11:24:39	26284/26284	---M-Z	200	added ('OK')	text/css	etag:%2266ac-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/css/icons.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/css/icons.css	(from https://www.bughunterr.com/)
11:24:40	42506/42506	---M-Z	200	added ('OK')	text/css	etag:%22a60a-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/css/responsee.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/css/responsee.css	(from https://www.bughunterr.com/)
11:24:40	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/owl-carousel/owl.carousel.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/owl-carousel/owl.carousel.css	(from https://www.bughunterr.com/)
11:24:40	1303/1303	---M-Z	200	added ('OK')	text/css	etag:%22517-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/owl-carousel/owl.theme.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/owl-carousel/owl.theme.css	(from https://www.bughunterr.com/)
11:24:40	17040/17040	---M-Z	200	added ('OK')	text/css	etag:%224290-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/css/lightcase.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/css/lightcase.css	(from https://www.bughunterr.com/)
11:24:40	2728/2728	---M-Z	200	added ('OK')	text/css	etag:%22aa8-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/css/style.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/css/style.css	(from https://www.bughunterr.com/)
11:24:41	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5a8d23aca8a8c%22	https://www.bughunterr.com/img/favicon.ico	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/img/favicon.ico	(from https://www.bughunterr.com/)
11:24:41	70900/70900	---M-Z	200	added ('OK')	text/css	etag:%22114f4-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/css/template-style.css	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/css/template-style.css	(from https://www.bughunterr.com/)
11:24:41	93636/93636	---M-Z	200	added ('OK')	application/javascript	etag:%2216dc4-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/js/jquery-1.8.3.min.js	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/js/jquery-1.8.3.min.js	(from https://www.bughunterr.com/)
11:24:41	186237/186237	---M-Z	200	added ('OK')	application/javascript	etag:%222d77d-5a8d23aca8a8c-gzip%22	https://www.bughunterr.com/js/jquery-ui.min.js	C:/My%20Web%20Sites/Bug1/www.bughunterr.com/js/jquery-ui.min.js	(from https://www.bughunterr.com/)
